id,type,question,options,answer,tip
175,single,"无业人员张某、王某以警察身份在公园内以抓卖淫、嫖娼为名罚款，共计得款 2000 余元。张某、王某的行为构成（）。","A. 招摇撞骗罪|B. 诈骗罪|C. 冒充警察招摇撞骗罪|D. 敲诈勒索罪",A,"💡 记忆技巧：冒充警察罚款，是典型的招摇撞骗。没有'冒充警察招摇撞骗罪'这个独立罪名，是招摇撞骗罪的从重情节。"
176,single,"王某假冒公安人员，称能帮助李某（女）的弟弟（因盗窃被逮捕）找关系放出来，李某信以为真，王某即趁机多次和李某发生性关系。对王某应当（）。","A. 以招摇撞骗罪定罪处罚|B. 以强制猥亵妇女罪定罪处罚|C. 以招摇撞骗罪和强奸罪定罪处罚|D. 以强奸罪定罪处罚",A,"💡 记忆技巧：冒充警察骗色，属于招摇撞骗罪的范畴（损害国家机关威信 + 骗取利益/色）。若使用暴力胁迫则定强奸，这里是'骗'，定招摇撞骗。"
177,single,"公安干警陈某见法院审判工作有油水可捞，即冒充某法院刑庭庭长，先后以找关系，帮当事人从轻处罚、减刑为名骗取他人的信任，并骗取现金 1 万元，下列说法正确的是（）。","A. 陈某构成招摇撞骗罪|B. 陈某构成诈骗罪|C. 对陈某应当加重处罚|D. 陈某不构成犯罪",A,"💡 记忆技巧：冒充国家机关工作人员（法院庭长）骗取财物，定招摇撞骗罪。若数额特别巨大，可能择一重罪定诈骗，但 1 万元通常定招摇撞骗。"
178,single,"冒充（）工作人员招摇撞骗的，涉嫌招摇撞骗罪。","A. 已退休的国家机关|B. 国家机关|C. 国有企、事业单位|D. 军人",B,"💡 记忆技巧：招摇撞骗罪的对象是'国家机关'工作人员。冒充军人是冒充军人招摇撞骗罪；冒充国企事业人员通常定诈骗。"
179,single,"谢某需外出办急事，将才 3 个月的女儿一人留在家中床上，自己锁门外出。3 小时后回家，发现女儿从床上掉落地下摔死，谢某构成（）。","A. 故意杀人罪|B. 过失致人死亡罪|C. 属意外事件，不构成犯罪|D. 故意伤害罪",C,"💡 记忆技巧：将婴儿留在家中去办急事，通常被认为尽到了注意义务，掉落摔死属于意外事件（除非床极度不安全或时间过长等特殊情况，一般题库认定为意外）。"
180,single,"甲、乙合谋勒索丙的钱财。甲与丙及丙的儿子丁（17 岁）相识。某日下午，甲将丁邀到一家游乐场游玩，然后由乙向丙打电话。乙称丁被绑架，令丙赶快送 3 万元现金到约定地点，不许报警，否则杀害丁。丙担心儿子的生命而没有报警，下午 7 点左右准备了 3 万元后送往约定地点。乙取得钱后通知甲，甲随后与丁分手回家。下列罪名符合甲、乙的行为性质的是？（）","A. 绑架罪|B. 抢劫罪|C. 敲诈勒索罪|D. 非法拘禁罪",C,"💡 记忆技巧：人没被实际控制（在游玩），只是虚构绑架事实吓唬家长要钱，定敲诈勒索罪。"
181,single,"王某正在盗窃财物时，被李某发现，李某对王某说：“交出 3000 元钱，否则告发你。”王某被迫交给李某 3000 元钱。李某的行为构成（）。","A. 抢劫罪|B. 诈骗罪|C. 敲诈勒索罪|D. 盗窃罪共犯",C,"💡 记忆技巧：抓住把柄（盗窃），以告发相要挟要钱，定敲诈勒索。"
182,single,"某私营保险公司理赔人员甲指使他人故意虚报保险事故，由自己进行虚假理赔，骗取保险金 20 余万元据为己有。甲的行为构成何罪？（）","A. 保险诈骗罪|B. 挪用资金罪|C. 诈骗罪|D. 职务侵占罪",D,"💡 记忆技巧：保险公司内部人员，利用职务便利，骗取本单位保险金归自己，定职务侵占罪。若是外部人员骗保，定保险诈骗。"
183,multiple,"以下行为，定罪处罚正确的是（）。","A. 违反国家规定，擅自设置、使用无线电台（站），非法经营国际电信业务或者涉港澳台电信业务进行营利活动，同时构成非法经营罪和扰乱无线电通讯管理秩序罪的，实行数罪并罚|B. 国有电信企业的工作人员，由于严重不负责任或者滥用职权，造成国有电信企业破产或者严重损失，致使国家利益遭受重大损失的，依照《刑法》关于徇私舞弊造成破产、亏损罪的规定定罪处罚|C. 盗用他人公共信息网络上网账号、密码上网，造成他人电信资费损失数额较大的，依照《刑法》的规定，以盗窃罪定罪处罚|D. 以虚假、冒用的身份证件办理入网手续并使用移动电话，造成电信资费损失数额较大的，依照《刑法》的规定，以诈骗罪定罪处罚",CD,"💡 记忆技巧：A 择一重罪；B 是国有公司人员失职/滥用职权罪；C 盗用账号 = 盗窃；D 骗入网 = 诈骗。"
184,multiple,"非法经营外汇，涉嫌下列情形之一的，应予追诉（）。","A. 在外汇指定银行和中国外汇交易中心及其分中心以外买卖外汇，违法所得数额在 5 万元以上的|B. 公司、企业或者其他单位违反有关外贸代理业务的规定，采用非法手段，为他人向外汇指定银行骗购外汇，数额在 500 万美元以上的|C. 居间介绍骗购外汇，数额在 100 万美元以上或者违法所得数额在 10 万元以上的|D. 公司、企业或者其他单位违反有关外贸代理业务的规定，采用非法手段，为他人向外汇指定银行骗购外汇，违法所得数额在 30 万元以上的",ABC,"💡 记忆技巧：非法经营外汇的追诉标准：违法所得 5 万；骗购 500 万美元；居间 100 万美元或获利 10 万。"
185,multiple,"出版、印刷、复制、发行严重危害社会秩序和扰乱市场秩序的非法出版物，涉嫌下列情形之一的，应予追诉（）。","A. 个人非法经营数额在 5 万元以上的，单位非法经营数额在 15 万元以上的|B. 个人违法所得数额在 2 万元以上的，单位违法所得数额在 5 万元以上的|C. 个人非法经营报纸 5000 份或者期刊 5000 本或者图书 2000 册或者音像制品、电子出版物 500 张（盒）以上的|D. 单位非法经营报纸 15000 份或者期刊 15000 本或者图书 5000 册或者音像制品、电子出版物 1500 张（盒）以上的",ABCD,"💡 记忆技巧：非法出版物的追诉标准，记住数字：个人 5 万/2 万/5000 份；单位 15 万/5 万/15000 份。"
186,multiple,"以下非法经营食盐的行为定罪处罚正确的是（）。","A. 以非碘盐充当碘盐进行非法经营，同时构成非法经营罪和生产、销售伪劣产品罪，生产、销售不符合安全标准的食品罪等其他犯罪的，依照处罚较重的规定追究刑事责任|B. 以暴力、威胁方法阻碍行政执法人员依法行使盐业管理职务的，以妨害公务罪追究刑事责任；其非法经营行为已构成犯罪的，依照数罪并罚的规定追究刑事责任|C. 以工业用盐等非食盐充当食盐进行非法经营，同时构成非法经营罪和生产、销售有毒、有害食品罪等其他犯罪的，实行数罪并罚|D. 行为人非法经营食盐行为是否盈利，不影响犯罪的构成",ABD,"💡 记忆技巧：C 错，想象竞合择一重，不是数罪并罚。A、B、D 正确。"
187,multiple,"违反国家规定，有下列（）非法经营行为之一，扰乱市场秩序，情节严重的，构成非法经营罪。","A. 未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的|B. 买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的|C. 未经国家有关主管部门批准，非法经营证券、期货或者保险业务的|D. 其他严重扰乱市场秩序的非法经营行为",ABCD,"💡 记忆技巧：非法经营罪的四种表现形式，全选。"
188,multiple,"下列甲的行为构成故意杀人罪的有（）。","A. 甲在实施抢劫之后，为了灭口，将乙杀害|B. 甲强奸某女，引起某女自杀|C. 甲使用暴力手段猥亵某女后，引起某女自杀|D. 甲与某女相约自杀，甲欺骗该女先自杀后逃走",AD,"💡 记忆技巧：A 灭口杀人 = 故意杀人；D 骗人自杀 = 故意杀人。B、C 引起自杀通常作为强奸/猥亵的加重情节，不单独定杀人。"
189,multiple,"下列行为中，应当以故意杀人罪与本罪数罪并罚的是（）。","A. 行为人犯组织、领导、参加黑社会性质组织罪，又实施杀人行为的|B. 行为人犯保险诈骗罪，又故意造成被保险人死亡的|C. 行为人犯组织他人偷越国（边）境罪，又杀害被组织人、被运送人及检查人员的|D. 行为人犯组织、领导、参加恐怖组织罪，又实施杀人行为的",ABCD,"💡 记忆技巧：黑社会、保险诈骗（杀被保险人）、偷越国境（杀人）、恐怖组织（杀人），这些情况法律明确规定数罪并罚。"
190,multiple,"魏某受恐怖活动组织的指派潜入大陆进行恐怖活动，先后杀害 3 人，绑架 1 人。关于魏某的行为，下列说法正确的是（）。","A. 构成参加恐怖组织罪|B. 构成故意杀人罪|C. 构成绑架罪|D. 对魏某以上述三罪实行数罪并罚",ABCD,"💡 记忆技巧：参加恐怖组织 + 实施具体犯罪（杀人、绑架），数罪并罚。"
191,multiple,"孙某与有夫之妇姚某勾搭成奸，深恐姚某之夫辜某发觉，于是定下毒计，在某日夜里趁辜某睡着之机，两人合力用绳索勒住辜某的脖子，辜某昏死过去。孙、姚二人以为辜某已死，于是罢手，由孙某一人将辜某投入附近池塘中。事后验尸查明辜某实际上是因溺水而死。对孙某和姚某应当如何定罪？（）","A. 孙某、姚某均构成故意杀人罪未遂|B. 孙某、姚某均构成故意杀人罪既遂|C. 孙某构成故意杀人罪既遂、姚某构成故意杀人罪未遂|D. 孙某与姚某系共同犯罪，应当对犯罪结果共同承担责任",BD,"💡 记忆技巧：共同犯罪，因果关系认识错误（以为勒死实际溺死）不影响既遂认定。两人均既遂，共同承担责任。"
192,multiple,"非法经营食盐，具有下列情形之一的，应当依法追究刑事责任（）。","A. 非法经营食盐数量在 20 吨以上的|B. 曾因非法经营食盐行为受过两次以上行政处罚又非法经营食盐，数量在 10 吨以上的|C. 非法经营食盐行为未经处理的，其非法经营的数量累计达到 20 吨以的|D. 曾因非法经营有毒、有害食品受过刑事处罚，又非法经营食盐，数量在 10 吨以上的",ABC,"💡 记忆技巧：非法经营食盐入罪标准：20 吨；或两次处罚后再犯 10 吨。D 项无此规定。"
193,multiple,"行为人将盗窃、抢劫、诈骗、抢夺的机动车，进行买卖、介绍买卖、典当、拍卖、抵押或者用其抵债等行为，有下列哪些情形的，应当认定行为人主观上属于“明知”？（）","A. 没有合法有效的来历凭证|B. 发动机号有明显更改痕迹，没有合法证明的|C. 车辆识别代号有明显更改痕迹，没有合法证明的|D. 车锁有明显撬痕迹的",ABC,"💡 记忆技巧：认定赃车'明知'的情形：无凭证、引擎号/车架号篡改。车锁撬痕不一定能认定明知（可能修车）。"
194,multiple,"王某与邻居张某有矛盾，欲报复张某。一天王某将毒药放入乡邻共用的水井中，致使赵某、李某死亡。公安机关讯问王某时，王某称其知道其行为可能造成他人死亡，但为了报复张某，其不计后果。王某的投毒行为不构成（）。","A. 过失致人死亡罪|B. 故意杀人罪|C. 过失投放危险物质罪|D. 投放危险物质罪",ABC,"💡 记忆技巧：王某明知会死人且不计后果（间接故意），且危害公共安全，定投放危险物质罪。所以不构成 A、B、C。题目问'不构成'。"
195,multiple,"陈某趁珠宝柜台的售货员接待其他顾客时，伸手从柜台内拿出一个价值 2300 元的戒指，装在兜里。然后继续在柜台边假装观看。几分钟后售货员发现少了一个戒指并怀疑陈某，便立即报告保安人员。陈某见状，迅速将戒指扔回柜台内后逃离。关于本案表述正确的有（）。","A. 陈某的盗窃行为已经既遂|B. 陈某的盗窃行为属于未遂|C. 陈某将戒指扔回柜台内不属于中止行为|D. 陈某将戒指扔回柜台内属于犯罪既遂后返还财物的行为",ACD,"💡 记忆技巧：戒指装兜里 = 既遂（已失控）。事后扔回 = 既遂后的退赃，不是中止。"
196,multiple,"下列财物能成为盗窃对象的是（）。","A. 天然气|B. 电信资费|C. 电力|D. 空气",ABC,"💡 记忆技巧：盗窃对象需有价值且可管理。天然气、电信资费、电力均可。空气（普通）不可。"
197,multiple,"以下关于盗接他人通信线路、复制他人电信码号的行为，盗窃数额计算正确的是（）。","A. 以牟利为目的，盗接他人通信线路、复制他人电信码号的，盗窃数额按当地邮电部门规定的电话初装费、移动电话入网费计算；销赃数额高于电话初装费、移动电话入网费的，盗窃数额按销赃数额计算|B. 明知是盗接他人通信线路、复制他人电信码号的电信设备、设施而使用的，盗窃数额按合法用户为其支付的电话费计算|C. 盗窃数额无法直接确认的，应当以合法用户的电信设备、设施被盗接、复制后的月缴费额减去被复制前 3 个月的平均电话费推算；合法用户使用电信设备、设施不足 3 个月的，按实际使用的月平均电话费推算|D. 盗接他人通信线路后自己使用的，盗窃数额按合法用户为其支付的电话费计算",ABD,"💡 记忆技巧：C 项计算方法有误，应该是按实际产生的费用或相关规定，题库中 ABD 为正确选项。"
198,multiple,"以下关于贪污、职务侵占犯罪案件的说法正确的是（）。","A. 行为人与国家工作人员勾结，利用国家工作人员的职务便利，共同侵吞、窃取、骗取或者以其他手段非法占有公共财物的，以贪污罪共犯论处|B. 行为人与公司、企业或者其他单位的人员勾结，利用公司、企业或者其他单位人员的职务便利，共同将该单位财物非法占为己有，数额较大的，以职务侵占罪共犯论处|C. 公司、企业或者其他单位中，不具有国家工作人员身份的人与国家工作人员勾结，分别利用各自的职务便利，共同将本单位财物非法占为己有的，按照各自的犯罪性质定罪|D. 公司、企业中不具有国家工作人员身份的人与国家工作人员勾结，分别利用各自的工作便利，共同将本单位财物非法占为己有的，按照主犯的犯罪性质定罪",AB,"💡 记忆技巧：A、B 正确。C、D 错，混合主体勾结，通常按主犯性质定罪，若分不清主从，按贪污罪（重罪）定罪。"
199,multiple,"在办理盗窃、诈骗、抢劫机动车案件中，下列说法正确的是（）。","A. 企事业单位私下交易机动车辆属于违法行为，由公安机关依法处理|B. 对明知诈骗而来的赃车而购买的，应将车辆无偿追缴|C. 对违反国家规定购买车辆，经查证是赃车的，一律进行追缴|D. 对不明知是赃车而购买的，结案后予以退还买主",BD,"💡 记忆技巧：A 不一定由公安处理；C '一律'太绝对，善意取得可能不退；B、D 正确，明知赃车追缴，不明知退还。"
200,multiple,"下列关于合同诈骗罪的犯罪构成表述正确的有（）。","A. 侵犯的客体是复杂客体，不仅侵犯了社会主义市场经济秩序，而且也侵犯了有关合同当事人的财产权利|B. 客观方面表现为在签订、履行合同过程中，骗取对方当事人财物，数额较大的行为|C. 主体包括年满 16 周岁、具有刑事责任能力的自然人，也包括单位|D. 主观方面既可以出于故意，也可以出于过失",ABC,"💡 记忆技巧：合同诈骗罪主观必须是'故意'，D 错。"
201,multiple,"盗窃公私财物虽已达到“数额较大”的起点，但情节轻微，并具有下列（）情形的，可不作为犯罪处理。","A. 已满 16 周岁不满 18 周岁的未成年人作案的|B. 大部分退赃、退赔的|C. 主动投案的|D. 被胁迫参加盗窃活动，没有分赃或者获赃较少的",ACD,"💡 记忆技巧：司法解释规定，未成年人、主动投案、被胁迫且分赃少，可不作为犯罪。B 需'全部'退赃才可能不作为犯罪，'大部分'通常是从轻。"
202,multiple,"盗窃公私财物虽已达到“数额较大”的起点，但情节轻微，并具有（）情形的，可不作为犯罪处理。","A. 已满 16 周岁不满 18 周岁的未成年人作案的|B. 全部退赃、退赔的|C. 主动投案的|D. 被胁迫参加盗窃活动，没有分赃或者获赃较少的",ABCD,"💡 记忆技巧：同上题，若 B 改为'全部'，则 ABCD 全选。"
203,multiple,"甲乘坐长途公共汽车时，误以为司机座位后的提包为身边的乙所有（实为司机所有）；乙中途下车后，甲误以为乙忘了拿走提包。为了非法占有该提包内的财物（内有司机为他人代购的 13 部手机，价值 2．6 万元），甲提前下车，并将提包拿走。司机到站后发现自己的手提包丢失，便报案。公安人员发现甲有重大嫌疑，便询问甲，但甲拒不承认，也不交出提包。关于本案，下列说法正确的是（）。","A. 由于甲误认为提包为遗忘物，所以，甲的认识错误属于事实认识错误|B. 由于甲误认为提包为遗忘物，因而没有盗窃他人财物的故意，根据主客观相统一的原则，甲的行为成立侵占罪|C. 由于提包实际上属于司机的财物，所以，甲的行为成立盗窃罪|D. 由于提包实际上属于司机的财物，而甲又没有盗窃的故意，所以，甲的行为不成立盗窃罪；又由于甲具有侵占遗忘物的故意，但提包事实上不属于遗忘物，所以，甲的行为也不成立侵占罪",AB,"💡 记忆技巧：抽象事实认识错误。甲主观想侵占（遗忘物），客观是盗窃（他人占有物）。在主客观重合的范围内（侵占罪）定罪。所以定侵占罪。"
204,multiple,"下列哪些情形属于想象竞合犯？（）","A. 盗窃数额较大的、正在使用中的电力设施|B. 窃取国家所有、具有历史价值的档案的|C. 行为人在缴纳 20 万元税款后，一次性假报出口骗取国家 50 万元退税款的|D. 对正在执行国家安全工作任务的警察实施暴力，使之受轻伤的",ACD,"💡 记忆技巧：A 盗窃 + 破坏电力设备；C 逃税 + 骗取出口退税（或诈骗）；D 妨害公务 + 故意伤害。B 窃取国有档案是单一行为定一罪。"
205,multiple,"甲、乙因做生意共同与丙产生较大矛盾。乙心里暗藏杀死丙之意，但其未告诉甲。某日，甲、乙二人约定共同去丙住处教训丙。甲、乙二人到丙家后，同时对丙进行殴打，致丙死亡。下列表述错误的是（）。","A. 甲、乙均成立故意杀人罪（既遂），属于共同犯罪|B. 甲、乙均成立故意伤害罪（致人死亡），属于共同犯罪|C. 甲成立故意伤害罪（致人死亡），乙成立故意杀人罪（既遂），不属于共同犯罪|D. 甲成立故意伤害罪（致人死亡），乙成立故意杀人罪（既遂），在故意伤害范围内成立共同故意",ABC,"💡 记忆技巧：正确的是 D。题目问'错误的'，所以选 ABC。"
206,multiple,"对直接从犯罪分子处追缴的被盗窃、抢劫的机动车辆，经检验鉴定，查证属实后，以下哪些处理方法是正确的？（）","A. 可以先行返还失主|B. 在移送案件时附车辆的清单、照片及其他证据|C. 在返还失主前，按照赃物管理规定管理，任何单位和个人都不得自行处理|D. 应当将车辆移送人民法院",ABC,"💡 记忆技巧：赃车查证属实可先行返还，但需留证据，不得自行处理。不需等法院判决才还。"
207,multiple,"刘某基于杀害潘某的意思将潘某勒昏，误以为其已死亡，为毁灭证据而将潘某扔下悬崖。事后查明，潘某不是被勒死而是从悬崖坠落致死。关于本案，下列哪些选项是正确的？（）","A. 刘某在本案中存在因果关系的认识错误|B. 刘某在本案中存在打击错误|C. 刘某构成故意杀人罪未遂与过失致人死亡罪|D. 刘某构成故意杀人罪既遂",AD,"💡 记忆技巧：事前故意（韦伯的概括故意）。两个行为视为一个整体，定故意杀人既遂。存在因果关系认识错误。"
208,multiple,"甲整理好行装要去沙漠旅行，仇人乙在甲带的水中掺入了剧毒药品，之后仇人丙将甲的水壶钻了个洞使水蒸发和渗漏，结果甲在沙漠中干渴而死。下列哪些说法错误？（）","A. 乙构成故意杀人既遂|B. 乙构成故意杀人未遂|C. 丙构成故意杀人既遂|D. 丙构成故意杀人未遂",AD,"💡 记忆技巧：乙投毒但水漏了，未起作用，未遂。丙钻孔致水漏，甲渴死，丙既遂。题目问'错误的'，选 AD。"
209,multiple,"甲与乙共谋次日共同杀丙，但次日甲因腹泻未能前往犯罪地点，乙独自一人杀死丙。关于本案，下列哪些说法是正确的？（）","A. 甲与乙构成故意杀人罪的共犯|B. 甲与乙不构成故意杀人罪的共犯|C. 甲承担故意杀人预备的刑事责任，乙承担故意杀人既遂的刑事责任|D. 甲与乙均承担故意杀人既遂的刑事责任",AD,"💡 记忆技巧：共谋共同正犯。甲虽未去，但共谋了对结果有心理贡献，成立共犯，且对既遂结果负责。"
210,multiple,"甲与乙共谋次日共同杀害丙，但次日甲因腹泻未能前往犯罪地点，乙独自一人杀害了丙。关于此案，下列说法正确的是（）。","A. 甲与乙构成故意杀人罪的共犯|B. 甲为丙的死亡承担责任|C. 甲承担故意杀人预备的刑事责任，乙承担故意杀人既遂的刑事责任|D. 甲与乙均承担故意杀人既遂的刑事责任",ABD,"💡 记忆技巧：同上，共谋者对既遂负责。C 错。"
211,multiple,"甲追杀乙，乙逃到悬崖边，甲瞄准乙开枪但未能打中，这时乙受惊一脚踏空，摔下悬崖死亡。下列说法正确的是（）。","A. 甲的行为与乙死亡结果间存在因果关系|B. 甲的行为与乙死亡结果间无因果关系|C. 甲属于故意杀人未遂|D. 甲属于故意杀人既遂",AD,"💡 记忆技巧：追杀行为导致被害人惊慌失措坠崖，存在因果关系，定既遂。"
212,multiple,"关于不作为犯，下列哪些选项是正确的？（）","A. 《刑法》规定，依法配备公务用枪的人员丢失枪支不及时报告，造成严重后果的构成犯罪。该罪以不报告为成立条件，属于不作为犯罪|B. 逃税罪是一种不履行纳税义务的行为，只能由不作为构成|C. 遗弃罪是一种不履行扶养义务的行为，属于不作为犯罪|D. 《刑法》规定，将代为保管的他人财物非法占为己有，数额较大，拒不退还的，构成犯罪。该罪以拒不退还为成立条件，属于不作为犯罪",AC,"💡 记忆技巧：A、C 是纯正不作为。B 逃税可由作为（做假账）构成；D 侵占罪本质是作为（非法占有），拒不退还是情节。"
213,multiple,"下列关于刑法上因果关系的说法哪些是正确的？（）","A. 甲欲杀害其女友，某日故意破坏其汽车的刹车装置。女友如驾车外出，15 分钟后遇一陡坡，必定会坠下山崖死亡。但是，女友将汽车开出 5 分钟后，即遇山洪暴发，泥石流将其冲下山摔死。死亡结果的发生和甲的杀害行为之间，没有因果关系|B. 乙欲杀其仇人苏某，在山崖边对其砍了 7 刀，被害人重伤昏迷。乙以为苏某已经死亡，遂离去。但苏某自己醒来后，刚迈了两步即跌下山崖摔死。苏某的死亡和乙的危害行为之间存在因果关系|C. 丙追杀情敌赵某，赵狂奔逃命。赵的仇人赫某早就想杀赵，偶然见赵慌不择路，在丙尚未赶到时，即向其开枪射击，致赵死亡。赵的死亡和丙的追杀之间没有因果关系|D. 丁持上膛的手枪闯入其前妻钟某住所，意图杀死钟某。在两人厮打时，钟某自己不小心触发扳机遭枪击死亡。钟的死亡和丁的杀人行为之间存在因果关系，即使丁对因果关系存在认识错误，也构成故意杀人罪既遂",ABCD,"💡 记忆技巧：A 介入异常因素（泥石流）中断因果；B 因果关系未中断；C 介入第三人行为中断；D 行为制造风险实现，有因果。全对。"
214,multiple,"下列聚众犯罪中，除首要分子外，积极参加者也可以构成的有（）。","A. 聚众扰乱社会秩序罪|B. 聚众扰乱公共场所秩序、交通秩序罪|C. 聚众冲击国家机关罪|D. 聚众斗殴罪",ACD,"💡 记忆技巧：聚众扰乱公共场所秩序、交通秩序罪，只处罚首要分子。其他三个罪，积极参加者也处罚。"
215,multiple,"甲见丙有钱，遂见财起意，找到乙共谋勒索丙的钱财。因甲与丙的儿子丁（17 周岁）相识，某日下午，甲将丁邀到一家游乐场游玩，然后授意乙给丙打电话。乙打电话称丁被绑架，令丙赶快送 3 万元现金到约定地点，不许报警，否则杀死丁。丙担心儿子的生命安全而未报警，将 3 万元现金送往约定地点交给乙。乙取得钱后通知甲，甲随后与丁分手回家。下列表述正确的是（）。","A. 甲和乙构成绑架罪|B. 甲和乙构成敲诈勒索罪|C. 甲和乙属于共同犯罪|D. 甲是主犯，乙是从犯",BCD,"💡 记忆技巧：人没被绑架，是虚构事实，定敲诈勒索。共同犯罪。甲出意授意是主犯，乙实施是从犯。"
216,multiple,"关于敲诈勒索罪的判断，下列哪些选项是正确的？（）","A. 甲将王某杀害后，又以王某被绑架为由，向其亲属索要钱财。甲除构成故意杀人罪外，还构成敲诈勒索罪与诈骗罪的想象竞合犯|B. 饭店老板乙以可乐兑水冒充洋酒销售，向实际消费数十元的李某索要数千元。李某不从，乙召集店员对其进行殴打，致其被迫将钱交给乙。乙的行为构成抢劫罪而非敲诈勒索罪|C. 职员丙被公司辞退，要求公司支付 10 万元补偿费，否则会将所掌握的公司商业秘密出卖给其他公司使用。丙的行为构成敲诈勒索罪|D. 丁为谋取不正当利益送给国家工作人员刘某 10 万元。获取不正当利益后，丁以告发相要挟，要求刘某返还 10 万元。刘某担心被告发，便还给丁 10 万元。对丁的行为应以行贿罪与敲诈勒索罪实行并罚",ABCD,"💡 记忆技巧：A 杀人后骗钱，敲诈与诈骗竞合；B 当场暴力取财 = 抢劫；C 要挟索财 = 敲诈；D 行贿后又敲诈回来，数罪并罚。"
217,multiple,"以下关于年满 14 周岁不满 16 周岁的未成年人所犯行为，不应当追究刑事责任的有（）。","A. 组织卖淫罪|B. 非法拘禁期间，使用暴力致被害人死亡|C. 强迫卖淫期间，导致被强迫卖淫人重伤、死亡的|D. 抢夺致被害人重伤、死亡",ACD,"💡 记忆技巧：14-16 岁只对 8 种重罪负责。A、C、D 都不在 8 种之列。B 非法拘禁使用暴力致死转化为故意杀人，要负责。题目问'不应当'，选 ACD。"
218,multiple,"某日，甲在街上看见乙的手包很鼓，以为包内有很多钱，遂跟踪乙。此后，乙到一商场购物，拉开手包拉链，甲看到露出多张百元面额的人民币。甲见财起意，又尾随乙至一人员稀少处，趁其不备，从乙手中抢走手包，逃之夭夭。甲打开手包发现，包内除现金 4000 元外，还有六四手枪一支。甲将手枪藏在家中。甲的行为构成（）。","A. 抢夺枪支罪|B. 抢夺罪|C. 抢劫罪|D. 非法持有枪支罪",BD,"💡 记忆技巧：甲主观只想抢钱，不知有枪，定抢夺罪。事后藏枪，定非法持有枪支罪。数罪并罚。"
219,multiple,"抢夺公私财物虽然达到“数额较大”的标准，但具有下列（）情形的，可以视为犯罪情节轻微，免予刑事处罚。","A. 已满 16 周岁不满 18 周岁的未成年人作案的|B. 主动投案、全部退赃或者退赔的|C. 被胁迫参加抢夺，没有分赃或者获赃较少的|D. 其他情节轻微，危害不大的",BCD,"💡 记忆技巧：司法解释规定，主动投案退赃、被胁迫分赃少、其他轻微，可免刑。未成年人作案通常是从轻减轻，不一定直接免刑（除非结合其他情节），但题库答案常选 BCD。"
220,multiple,"抢夺公私财物达到“数额较大”的标准，具有下列（）情形的，以抢夺罪从重处罚。","A. 抢夺残疾人、老年人、不满 14 周岁未成年人的财物的|B. 抢夺救灾、抢险、防汛、优抚、扶贫、移民、救济等款物的|C. 一年内抢夺 3 次以上的|D. 利用行驶的机动车辆抢夺的",ABCD,"💡 记忆技巧：抢夺罪的从重情节，全选。"
221,multiple,"下列关于抢夺罪表述正确的是（）。","A. 甲将仿真玩具手枪一支装在裤兜里埋伏在僻静处欲抢财物，恰巧乙边打电话边走了过来，甲见有机可乘，便迅速从暗处冲出抢了乙的手机就跑。甲的行为构成抢夺罪|B. 甲见一老农紧抱一包袱不放便欲抢走，甲用力拉扯包袱时，老农站立不稳栽倒在地跌成轻伤。甲的行为构成抢夺罪|C. 某日，甲抢走乙的笔记本电脑一台，乙在后面猛追，甲见无法摆脱，其自恃身强体壮，遂将乙打倒，致乙重伤。甲的行为构成抢夺罪|D. 甲在火车站候车室见乙身旁的座位上有一精致的小包便上前拿了就跑，但实际上包是另一侧丙的，其当时正在打盹，后经人提醒才发现包不见了。甲的行为构成抢夺罪",ABD,"💡 记忆技巧：A 没出示凶器，抢夺；B 拉扯致伤是抢夺过失，仍抢夺；C 追上后打人护赃，转抢劫；D 趁人不备公然夺取，抢夺。"
222,multiple,"下列说法不正确的是（）。","A. 《刑法》第 266 条规定的诈骗罪的法定最高刑为无期徒刑，而第 198 条规定保险诈骗罪的法定最高刑为 15 年有期徒刑。为了保持刑法的协调和实现罪刑相适应原则，对保险诈骗数额特别巨大的，应以诈骗罪论处|B. 根据《刑法》第 358 条的规定，“强奸后迫使卖淫的”成立强迫卖淫罪，不实行数罪并罚，已满 14 周岁不满 16 周岁的人，伙同他人强奸妇女后迫使卖淫的，不负刑事责任，因为《刑法》第 17 条没有规定已满 14 周岁不满 16 周岁的人应对强迫卖淫罪承担刑事责任|C. 《刑法》第 382 条明文规定一般公民与国家工作人员勾结伙同贪污的，以共犯论处，所以，一般公民可以与国家工作人员构成贪污罪的共犯；《刑法》第 385 条对于受贿罪没有类似规定，所以，一般公民不可能与国家工作人员构成受贿罪的共犯|D. 《刑法》第 399 条第 4 款规定，“司法工作人员收受贿赂”有徇私枉法等行为的，依照处罚较重的规定定罪处罚。但是，司法工作人员索取贿赂并有徇私枉法等行为的，则应实行数罪并罚",ABCD,"💡 记忆技巧：A 错，法条竞合特别法优于普通法，定保险诈骗；B 错，14-16 岁对强奸负责，强奸后迫卖，定强奸罪；C 错，一般公民可构成受贿共犯；D 错，索取贿赂也是择一重。题目问'不正确'，全选。"
